DatasetID	PortalURI
ds000001	https://github.com/OpenNeuroDatasets/ds000001
ds000002	https://github.com/OpenNeuroDatasets/ds000002
ds000003	https://github.com/OpenNeuroDatasets/ds000003
ds000005	https://github.com/OpenNeuroDatasets/ds000005
ds000006	https://github.com/OpenNeuroDatasets/ds000006
ds000008	https://github.com/OpenNeuroDatasets/ds000008
ds000009	https://github.com/OpenNeuroDatasets/ds000009
ds000011	https://github.com/OpenNeuroDatasets/ds000011
ds000017	https://github.com/OpenNeuroDatasets/ds000017
ds000030	https://github.com/OpenNeuroDatasets/ds000030
ds000051	https://github.com/OpenNeuroDatasets/ds000051
ds000052	https://github.com/OpenNeuroDatasets/ds000052
ds000053	https://github.com/OpenNeuroDatasets/ds000053
ds000101	https://github.com/OpenNeuroDatasets/ds000101
ds000102	https://github.com/OpenNeuroDatasets/ds000102
ds000105	https://github.com/OpenNeuroDatasets/ds000105
ds000108	https://github.com/OpenNeuroDatasets/ds000108
ds000109	https://github.com/OpenNeuroDatasets/ds000109
ds000114	https://github.com/OpenNeuroDatasets/ds000114
ds000115	https://github.com/OpenNeuroDatasets/ds000115
ds000116	https://github.com/OpenNeuroDatasets/ds000116
ds000117	https://github.com/OpenNeuroDatasets/ds000117
ds000119	https://github.com/OpenNeuroDatasets/ds000119
ds000120	https://github.com/OpenNeuroDatasets/ds000120
ds000121	https://github.com/OpenNeuroDatasets/ds000121
ds000133	https://github.com/OpenNeuroDatasets/ds000133
ds000140	https://github.com/OpenNeuroDatasets/ds000140
ds000144	https://github.com/OpenNeuroDatasets/ds000144
ds000148	https://github.com/OpenNeuroDatasets/ds000148
ds000157	https://github.com/OpenNeuroDatasets/ds000157
ds000168	https://github.com/OpenNeuroDatasets/ds000168
ds000170	https://github.com/OpenNeuroDatasets/ds000170
ds000171	https://github.com/OpenNeuroDatasets/ds000171
ds000203	https://github.com/OpenNeuroDatasets/ds000203
ds000205	https://github.com/OpenNeuroDatasets/ds000205
ds000208	https://github.com/OpenNeuroDatasets/ds000208
ds000210	https://github.com/OpenNeuroDatasets/ds000210
ds000212	https://github.com/OpenNeuroDatasets/ds000212
